Product Name,Brand,Category Type,MRP (Maximum Retail Price),Discounted Price / Sale Price,Rating,Number of Reviews,Product URL
"Women A-line Yellow, White, Brown Ankle Length Dress",Doresuzaa,A-line,3000,392,4,84,https://www.flipkart.com/doresuzaa-women-a-line-yellow-white-brown-ankle-length-dress/p/itm033c0c0698b53
Women Bodycon Purple Knee Length Dress,Deklook,Bodycon,1599,304,4,590,https://www.flipkart.com/deklook-women-bodycon-purple-knee-length-dress/p/itm90280e5f13c52
Women Bodycon Black Maxi/Full Length Dress,Uptownie Lite,Maxi,2699,1480,3.5,0,https://www.flipkart.com/uptownie-lite-women-bodycon-black-maxi-full-length-dress/p/itm4c4bbedee529c
"Women Fit and Flare Dark Blue, Brown, White Maxi/Full Length Dress",Fashion wear,Maxi,999,460,3.8,286,https://www.flipkart.com/fashion2wear-women-fit-flare-dark-blue-brown-white-maxi-full-length-dress/p/itm45d30c0a464e5
"Women A-line Black, White Midi/Calf Length Dress",Fashion wear,Midi,999,480,3.9,2471,https://www.flipkart.com/fashion2wear-women-a-line-black-white-midi-calf-length-dress/p/itm039e4816a4f82
Women A-line Multicolor Midi/Calf Length Dress,Anouk,Midi,3299,659,3.8,4,https://www.flipkart.com/anouk-women-a-line-multicolor-midi-calf-length-dress/p/itm351baced0740d
Women A-line Purple Midi/Calf Length Dress,Rudraaksha,Midi,1999,395,3.7,3,https://www.flipkart.com/rudraaksha-women-a-line-purple-midi-calf-length-dress/p/itm5b5663297ffe6
Women Fit and Flare Pink Maxi/Full Length Dress,Aayu,Maxi,1599,498,4.2,1995,https://www.flipkart.com/aayu-women-fit-flare-pink-maxi-full-length-dress/p/itm8733e1f78185c
Women Fit and Flare Red Midi/Calf Length Dress,Gujari,Midi,1499,423,3.7,711,https://www.flipkart.com/gujari-women-fit-flare-red-midi-calf-length-dress/p/itmbc0d5d151c89b
Women Fit and Flare Purple Maxi/Full Length Dress,Deklook,Maxi,1999,333,4,37,https://www.flipkart.com/deklook-women-fit-flare-purple-maxi-full-length-dress/p/itmf3abe9297e639
Women Fit and Flare Black Ankle Length Dress,Purshottam Wala,Fit and Flare,2099,409,4.1,2466,https://www.flipkart.com/purshottam-wala-women-fit-flare-black-ankle-length-dress/p/itmc728016cfad50
Women Maxi Pink Knee Length Dress,Plus,Maxi,1699,255,3.9,34,https://www.flipkart.com/pluss-women-maxi-pink-knee-length-dress/p/itmdaf4aea57d937
Women A-line Green Above Knee/Mid Thigh Length Dress,Plus,A-line,1899,285,3.9,38,https://www.flipkart.com/pluss-women-a-line-green-above-knee-mid-thigh-length-dress/p/itm6114a151fbdc6
Women Fit and Flare Brown Maxi/Full Length Dress,Aayu,Maxi,1999,494,4,1404,https://www.flipkart.com/aayu-women-fit-flare-brown-maxi-full-length-dress/p/itmad66ad5fc6176
Women Fit and Flare Black Midi/Calf Length Dress,Ethnic look,Midi,1999,394,4.1,142,https://www.flipkart.com/diyansh-creations-women-fit-flare-black-midi-calf-length-dress/p/itma6a048b3c3fc1
"Women Fit and Flare Green, Pink, Dark Blue Maxi/Full Length Dress",Fashion wear,Maxi,1499,480,3.9,297,https://www.flipkart.com/fashion2wear-women-fit-flare-green-pink-dark-blue-maxi-full-length-dress/p/itm42ad971550007
Women Fit and Flare Multicolor Below Knee Dress,Deklook,Fit and Flare,1999,373,4,40,https://www.flipkart.com/deklook-women-fit-flare-multicolor-below-knee-dress/p/itmccb4c1b72372f
